Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,wild,ms_level,699_PH1_WH1 (1).mzXML,699_PH1_WH2 (1).mzXML,699_PH1_WH3 (1).mzXML,699_PH1_WH4 (1).mzXML
FT0140,119.079362088236,119.033597147038,119.079663789988,158.228407287598,123.769,271.022,52,4,1,1692621.06011719,5118503.03664561,27299.5292710937,4157441.16496155
FT0141,119.079577050335,119.079384016387,119.107944578151,783.940856933594,736.859,848.609069824219,47,4,1,186322.470730411,212254.75596753,206502.188442993,93861.63839624
FT0142,119.079573488227,119.048290252686,119.079676601653,967.266967773438,869.382568359375,1045.41,51,4,1,606417.070802915,752388.519043476,461225.571477464,766523.355013282
FT0143,119.079607659739,119.079539515306,119.107915157923,696.500061035156,663.93115234375,705.336669921875,21,4,1,69178.5455175773,73187.178915364,512674.652445323,2373221.19589664
FT0144,119.079557182428,119.079395087679,119.085320245831,1166.40637207031,1088.43603515625,1332.43,56,4,1,336374.626855464,98201.9479492206,106251.615112306,270189.818305665
FT0145,119.079578491312,119.048729579131,119.079593135695,1447.2,1422.88671875,1484.94604492188,9,4,1,130042.737745361,22053.0554785162,42185.5522400775,141389.885544086
FT0146,119.085193292614,119.0850847778,119.085237500285,1574.93865966797,1574.00598144531,1575.55,4,4,1,1509104.38518231,1494506.48282729,1516012.35814131,1476079.83993149
FT0147,120.111204233177,120.044100462652,120.111312047518,695.449737548828,584.618713378906,783.940856933594,36,4,1,675759.422187479,1383872.7639974,978664.547109388,874041.391351563
FT0148,120.055480625362,120.055277411946,120.103139372799,163.540824890137,123.771751403809,281.959,22,4,1,559137.905331136,18236.7401159972,2059752.75502216,488445.8593
FT0149,120.111204910946,120.111032412842,120.111252378401,509.338073730469,490.985107421875,511.792388916016,9,4,1,1160359.5683112,574873.737937506,561739.354355463,696793.059042478
FT0150,120.088620861211,120.088606745286,120.088643875869,1218.06907958984,1217.26135253906,1219.15344238281,4,4,1,19275.6402148442,47846.3717786459,24300.4520166008,18551.2537508131
FT0151,120.088586321218,120.08855928065,120.088630098052,1574.4426953125,1574.00598144531,1575.62670898438,4,4,1,85273.6052155898,55356.1221801765,39568.0968823238,105859.24479248
FT0152,120.111250778088,120.111250778088,120.111250778088,897.790222167969,897.790222167969,897.790222167969,1,1,1,37523.293933594,NA,NA,NA
FT0153,120.05228244493,120.05228244493,120.05228244493,991.258178710938,991.258178710938,991.258178710938,1,1,1,NA,NA,NA,16961.5137816774
FT0154,120.979134916899,120.978951524927,120.986901557853,2414.74201660156,2338.73779296875,2417.68994140625,4,3,1,NA,54177.8281301872,99303.1630132833,131267.149728394
FT0155,120.965928905542,120.96589506551,120.965979208322,1267.4169921875,1264.55,1269.73547363281,3,3,1,NA,24716.0078525385,75092.4293505853,20883.5219384764
FT0156,121.064564979405,121.064508042015,121.064599166559,845.605250244141,824.757019042969,866.298706054688,8,4,1,3415563.73814006,675094.373218745,533278.069628898,407108.015287504
FT0157,121.087066747259,121.086983622266,121.087101945176,123.780109405518,123.769,155.897277832031,6,4,1,274576.775699341,299839.69468515,594220.876138915,230971.640820557
FT0158,121.085679968552,121.049279878386,121.086046811253,1033.14,985.444946289062,1078.14,9,3,1,NA,21335.5720345051,40989.9301057614,44931.7551870121
FT0159,121.08644885353,121.083771953896,121.086561177618,608.810791015625,607.856323242188,612.05078125,5,4,1,401785.184370113,324782.935691531,580372.951411744,433806.280702471
FT0160,121.086816626099,121.086652572535,121.087001753552,239.399867614746,238.472579956055,239.977493286133,4,4,1,1122961.93377596,1730996.0619405,1771648.74690752,1318314.44469349
FT0161,121.064520818859,121.064473506391,121.064568131327,1448.12735839844,1448.08471679688,1448.17,2,2,1,1095409.66234561,256141.606413415,NA,NA
FT0162,121.028234004208,121.028202491835,121.028265516582,1322.80134765625,1322.34,1323.2626953125,2,2,1,NA,132668.627395021,NA,57981.2495849583
FT0163,122.057348801953,122.057160835175,122.058095294474,2128.61915039062,2067.82739257812,2182.62475585938,52,4,1,3060354.65766623,3275329.67160631,4007907.71500007,6673787.14273242
FT0164,122.057358746185,122.055170131696,122.059672586436,2254.37768554688,2190.52,2420.50122070312,69,4,1,15129746.0496393,4941005.44407879,7734641.5042502,15093184.1840902
FT0165,122.057345027017,122.05700577287,122.080950887897,1658.21118164062,1520.68798828125,1786.53918457031,111,4,1,2033480.35104165,2290619.78929683,2228505.18749999,8031220.11650382
FT0166,122.05736219502,122.056983600986,122.058110699319,1987.35,1900.47302246094,2063.47802734375,71,4,1,1539612.25500001,5643201.48850702,2946977.73855464,4388580.40482139
FT0167,122.057355174887,122.057067936077,122.058162463474,1847.75,1793.85,1892.17004394531,41,4,1,2934465.91787986,2679407.26211427,3304053.19387489,3172883.45625006
FT0168,122.057334786638,122.057037699997,122.080931625665,1411.08703613281,1300.29724121094,1513.08422851562,77,4,1,2455638.55550003,3266878.27354163,2600539.79325688,2815401.66037491
