Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,blank,ms_level,Blank1a.mzXML,Blank1b (1).mzXML,Blank1b (2).mzXML,Blank1b.mzXML
FT0126,116.016296666134,116.016296666134,116.016296666134,466.497985839844,466.497985839844,466.498,9,3,1,NA,240431.060419921,240431.060419921,240431.060419921
FT0127,116.016254523001,116.016221912362,116.016288570595,202.7025,198.311996459961,260.246002197266,12,3,1,NA,231490.093226561,337521.456014063,337521.456014063
FT0128,115.963927002696,115.963927002696,115.963927002696,2455.64990234375,2455.64990234375,2455.65,3,3,1,NA,27603.1549749752,27603.1549749752,27603.1549749752
FT0129,116.04891248101,116.04891248101,116.04891248101,-75.993599989891,-75.993599989891,-75.993599989891,1,1,1,163366.616117578,NA,NA,NA
FT0130,116.985694393872,116.983128980604,116.986073102873,2319.42993164062,2268.623046875,2385.24,45,4,1,2863299.64375002,3106784.00885386,3106784.00885386,3106784.00885386
FT0131,116.985733379553,116.98539311329,116.986016032579,1858.01,1775.04,1932.17785644531,61,4,1,6855875.70041106,4967860.36040353,4967860.36040353,4967860.36040353
FT0132,116.985694686383,116.985586515259,116.986147215048,2193.44,2111.97412109375,2257.17700195312,57,4,1,3448238.63554688,7397700.38292212,7397700.38292212,7397700.38292212
FT0133,116.985718096685,116.985466085142,116.986080401162,2043.15997314453,1985.9765625,2103.57568359375,44,4,1,1843171.43467403,1721083.62619633,1721083.62619633,1721083.62619633
FT0134,116.985771763483,116.985688834108,116.985923424309,1957.83996582031,1939.97998046875,1980.5400390625,18,4,1,2355414.87150001,3756540.30276468,3756540.30276468,3756540.30276468
FT0135,116.985833047366,116.985367284087,116.986003160165,1277.38000488281,1212.27,1357.89050292969,45,4,1,3274345.01140624,4299599.17882424,4299599.17882424,4299599.17882424
FT0136,116.985767955499,116.985518774624,116.986007254612,1729.57995605469,1684.88244628906,1765.12036132812,27,4,1,4617200.63758784,6373225.58958342,6373225.58958342,6373225.58958342
FT0137,116.985897046774,116.985414074156,116.986148660284,1152.82995605469,1076.05,1203.54321289062,35,4,1,5312400.21659509,3548482.8455918,3548482.8455918,3548482.8455918
FT0138,116.985822723653,116.985555197402,116.986162290999,1493.01279785156,1450.52,1531.16577148438,26,4,1,6246876.10937508,7155942.54138528,7155942.54138528,7155942.54138528
FT0139,116.985742909232,116.985520986282,116.985952796651,1398.25,1368.81994628906,1425.36,21,4,1,16302639.5840485,9919998.481883,9919998.481883,9919998.481883
FT0140,116.985781861868,116.985391498044,116.985981600247,517.142,464.223999023438,582.219,30,3,1,NA,1638313.46086704,1638313.46086704,1638313.46086704
FT0141,116.985766238115,116.985513729036,116.986171239045,753.451,675.859,845.819,41,4,1,1472233.91690821,1895200.48824461,1895200.48824461,1895200.48824461
FT0142,116.985670666586,116.983894036048,116.985969496415,203.781497558594,124.224998474121,272.476013183594,36,3,1,NA,842056.832572559,454344.08559668,454344.08559668
FT0143,116.985790576023,116.985579902208,116.985992771312,996.877990722656,935.512,1058.27001953125,29,4,1,2004518.5396704,2130148.92973352,2130148.92973352,2130148.92973352
FT0144,116.985918425266,116.985577262203,116.985953583161,887.213989257812,861.422973632812,915.327026367188,16,4,1,1976130.25467501,1342021.24046482,1342021.24046482,1342021.24046482
FT0145,116.985851269427,116.985533427035,116.986121195186,627.380004882812,599.226989746094,659.012023925781,15,3,1,NA,2820850.94622031,2820850.94622031,2820850.94622031
FT0146,116.985732458716,116.948014475,116.987689886575,2458.31005859375,2440.75,2459.66,13,4,1,18656.4143745118,80557.358439126,80557.358439126,80557.358439126
FT0147,116.985786591154,116.985513303187,117.018128365062,1611.27000976562,1537.9599609375,1674.25,44,4,1,11686921.8492105,4784216.79975565,4784216.79975565,4784216.79975565
FT0148,116.985753252828,116.98549042887,116.985942980371,391.858502929687,326.325,450.640014648438,36,3,1,NA,883342.318915182,646897.823271067,646897.823271067
FT0149,117.090863544546,117.090370024913,117.091008789935,1168.31994628906,1088.39318847656,1202.41003417969,22,4,1,1348729.4194808,456834.669415312,456834.669415312,456834.669415312
FT0150,117.054457168585,117.054457168585,117.054457168585,252.421005249023,252.421,252.421005249023,3,3,1,NA,163720.388626953,163720.388626953,163720.388626953
FT0151,117.090909532164,117.090909532164,117.090909532164,-74.967599989891,-74.967599989891,-74.967599989891,1,1,1,410739.070144343,NA,NA,NA
FT0152,117.054477328862,117.054477328862,117.054477328862,1715.30505371094,1715.30505371094,1715.30505371094,1,1,1,243444.019725749,NA,NA,NA
FT0153,117.934936104907,117.934936104907,117.934936104907,124.224998474121,124.224998474121,124.225,3,3,1,NA,45298.1908638916,45298.1908638916,45298.1908638916
FT0154,117.979507903176,117.979507903176,117.979507903176,-77.349599989891,-77.349599989891,-77.349599989891,1,1,1,14206.4164164937,NA,NA,NA
FT0155,117.989082177022,117.989082177022,117.989082177022,2458.31005859375,2458.31005859375,2458.31005859375,1,1,1,27307.7420504248,NA,NA,NA
FT0156,118.978745866551,118.97865295173,118.979032514331,2229.5,2115.88989257812,2394.72,297,3,1,NA,340854.393749999,340854.393749999,340854.393749999
FT0157,118.978788705161,118.978729277776,118.978870534032,1904.56994628906,1810.06,1998.26000976562,228,3,1,NA,131317.876184896,131317.876184896,131317.876184896
